frame_index,timestamp_ms,person_id,tool,schema,nose_x,nose_y,nose_confidence,left_eye_x,left_eye_y,left_eye_confidence,right_eye_x,right_eye_y,right_eye_confidence,left_ear_x,left_ear_y,left_ear_confidence,right_ear_x,right_ear_y,right_ear_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_confidence,left_hip_x,left_hip_y,left_hip_confidence,right_hip_x,right_hip_y,right_hip_confidence,left_knee_x,left_knee_y,left_knee_confidence,right_knee_x,right_knee_y,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_confidence
0,0.0,0,mediapipe,coco17,982.5956726074219,760.6258964538574,0.9845908880233765,990.0608825683594,753.695433139801,0.980131208896637,977.9680252075195,757.3892211914062,0.9824261665344238,1004.3070602416992,752.0704007148743,0.9587565660476685,979.9570083618164,757.7952861785889,0.976773738861084,1022.7711868286133,774.3923234939575,0.8670724034309387,987.4779510498047,796.3707518577576,0.9107458591461182,1009.2157745361328,918.1715154647827,0.8008370399475098,1009.0671157836914,917.3824954032898,0.7081124186515808,1010.7404708862305,972.6887011528015,0.7179558873176575,1020.183219909668,957.0470881462097,0.7597486972808838,1001.249885559082,664.3089938163757,0.9658430814743042,967.4291610717773,690.064058303833,0.9717061519622803,1017.7616500854492,783.7297582626343,0.6421336531639099,984.7072219848633,823.442051410675,0.38929638266563416,1014.0937042236328,924.1484212875366,0.7582625150680542,997.6689147949219,930.452470779419,0.4790928363800049
1,33.333333333333336,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
2,66.66666666666667,0,mediapipe,coco17,409.72947120666504,828.3574461936951,0.9860775470733643,424.17981147766113,845.814893245697,0.9820654988288879,424.04128074645996,821.8285417556763,0.9840900897979736,406.14964485168457,858.6564087867737,0.9628316760063171,413.9259910583496,815.7019686698914,0.979023277759552,336.7914390563965,882.5369310379028,0.8803051114082336,353.81993293762207,782.8145670890808,0.9194527864456177,225.75968742370605,895.276608467102,0.819705069065094,354.274320602417,757.3693943023682,0.7346221208572388,161.80585384368896,907.9043412208557,0.7440840005874634,386.2167549133301,786.6656184196472,0.7815026044845581,140.23633003234863,892.9885339736938,0.9691412448883057,124.12649631500244,817.1658754348755,0.9744282960891724,-26.61213219165802,926.0308814048767,0.6561259627342224,-52.22360372543335,827.9825377464294,0.41950029134750366,-191.0571527481079,937.2164011001587,0.6854801177978516,-208.98402214050293,875.1371240615845,0.4340430498123169
3,100.0,0,mediapipe,coco17,364.46682929992676,831.0123181343079,0.987418532371521,369.8559379577637,845.8324670791626,0.9838008284568787,372.22615242004395,822.7036929130554,0.9855804443359375,360.6903076171875,857.8584408760071,0.9664987325668335,364.93412017822266,815.2398991584778,0.9810372591018677,319.07069206237793,874.7379469871521,0.8921566605567932,329.6699810028076,777.8014540672302,0.9273344278335571,268.58548164367676,900.7056999206543,0.8164424896240234,369.5909786224365,756.9024324417114,0.7585715055465698,311.5718650817871,895.1076936721802,0.7403968572616577,460.2494430541992,790.277910232544,0.7992674708366394,157.98804759979248,886.558313369751,0.972042441368103,147.9304075241089,812.4394154548645,0.976758599281311,76.04763507843018,944.1145491600037,0.6783654093742371,40.003066062927246,827.9602646827698,0.4563613533973694,-0.52866255864501,914.0708255767822,0.6380284428596497,-24.8090261220932,870.27747631073,0.41011926531791687
4,133.33333333333334,0,mediapipe,coco17,375.61646461486816,832.6333594322205,0.9880852103233337,383.3608818054199,845.747172832489,0.9847187399864197,385.5699062347412,823.5338473320007,0.9860528111457825,373.5208797454834,856.4115929603577,0.9692243933677673,378.9176273345947,815.2434396743774,0.9823123216629028,319.6922206878662,876.4353346824646,0.902256965637207,333.52206230163574,777.4569940567017,0.9341521859169006,257.04554557800293,902.7042889595032,0.8221808671951294,361.92941665649414,756.8668985366821,0.7819800972938538,271.57276153564453,878.5403323173523,0.7488040328025818,458.9337730407715,796.0234594345093,0.8180744051933289,166.93408012390137,885.2317786216736,0.9743683338165283,158.67965698242188,810.2788639068604,0.9787034392356873,48.030914068222046,938.0455899238586,0.7053645849227905,32.62757420539856,830.1922702789307,0.5014581084251404,-74.73766565322876,911.3211965560913,0.6020374298095703,-75.15320062637329,866.6694974899292,0.3870561122894287
5,166.66666666666666,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
6,200.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
7,233.33333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
8,266.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
9,300.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
10,333.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
11,366.66666666666663,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
12,400.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
13,433.33333333333337,0,mediapipe,coco17,992.2781753540039,850.5673599243164,0.9840781092643738,990.3926467895508,852.0774221420288,0.981834352016449,992.5412750244141,850.6805920600891,0.983472466468811,993.8026428222656,851.9076704978943,0.9631956815719604,997.2152709960938,848.4702801704407,0.9783574938774109,1011.3741302490234,860.4811906814575,0.9037047624588013,1002.6686096191406,864.013466835022,0.9363433122634888,1020.9500885009766,952.0573425292969,0.7933492660522461,1046.8359375,929.3851661682129,0.7497032880783081,1020.4850006103516,984.0038681030273,0.7150562405586243,1027.115821838379,971.6503000259399,0.7865696549415588,1006.8926239013672,742.9647731781006,0.9763681888580322,987.191162109375,767.6548504829407,0.9803872108459473,1017.0911407470703,826.8692064285278,0.6997857689857483,992.5370407104492,850.9115624427795,0.4729973375797272,1019.1799163818359,978.2700991630554,0.6248417496681213,1004.5792007446289,979.0497207641602,0.40162360668182373
14,466.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
15,500.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
16,533.3333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
17,566.6666666666666,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
18,600.0,0,mediapipe,coco17,994.2560577392578,854.3255853652954,0.984808623790741,983.8356399536133,860.2863335609436,0.9829778671264648,999.6185302734375,863.1647729873657,0.9843907952308655,977.2510528564453,860.7680368423462,0.9653432369232178,1008.4943389892578,865.0402164459229,0.9795272350311279,973.2723999023438,854.7580432891846,0.9077443480491638,1022.1047973632812,875.4112887382507,0.9398226737976074,950.756778717041,929.6028113365173,0.7683881521224976,1043.5923385620117,925.5298662185669,0.7211109399795532,954.9506950378418,959.736270904541,0.68603515625,1025.3962326049805,951.6294550895691,0.7563378810882568,978.2620239257812,754.2536115646362,0.9770233035087585,986.4737319946289,779.3337893486023,0.9801030158996582,993.8289642333984,832.5758743286133,0.6871398091316223,1005.871467590332,859.3420457839966,0.4500211179256439,1001.8790817260742,966.205952167511,0.6257132887840271,1004.4009017944336,961.1082530021667,0.39863404631614685
19,633.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
20,666.6666666666666,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
21,700.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
22,733.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
23,766.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
24,800.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
25,833.3333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
26,866.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
27,900.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
28,933.3333333333334,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
29,966.6666666666666,0,mediapipe,coco17,970.5229568481445,804.9534773826599,0.9802545309066772,965.8156585693359,810.9845209121704,0.9792627692222595,976.2162780761719,810.6242251396179,0.9807634949684143,962.449951171875,812.3725962638855,0.9578536152839661,982.716178894043,810.4753947257996,0.9746310710906982,956.4573097229004,813.1702423095703,0.890883207321167,998.9702224731445,827.4645924568176,0.9389545321464539,939.7913932800293,916.7179727554321,0.7253881096839905,1024.7732162475586,922.8299975395203,0.712142288684845,946.2731552124023,976.0484576225281,0.6546778082847595,1021.9972229003906,974.6927618980408,0.755078136920929,951.7443466186523,724.4948673248291,0.9782923460006714,962.3854064941406,746.3955330848694,0.9811896085739136,965.7100296020508,818.7387013435364,0.6864969730377197,973.6800384521484,843.1660079956055,0.4565918743610382,973.3927917480469,966.0282182693481,0.6341549754142761,979.0295791625977,967.0311498641968,0.4119548201560974
30,1000.0,0,mediapipe,coco17,960.7550811767578,775.8534622192383,0.9658845067024231,961.4562606811523,776.3367748260498,0.9658108353614807,961.5085601806641,777.066957950592,0.9634642004966736,962.5035095214844,780.4269075393677,0.9446535110473633,965.566291809082,781.0425066947937,0.9556286334991455,962.0989608764648,800.6686806678772,0.8866918087005615,984.3387222290039,802.1520924568176,0.9284471273422241,944.8619842529297,915.9687995910645,0.7133506536483765,995.0926208496094,902.3831963539124,0.707931399345398,946.8613243103027,974.3774628639221,0.6346468329429626,1011.2416076660156,967.0839357376099,0.7483469247817993,953.1397819519043,719.5694947242737,0.9790966510772705,956.0745620727539,730.1210045814514,0.9816851615905762,991.5671539306641,818.3677196502686,0.6703467965126038,992.9208755493164,827.9268550872803,0.4635775089263916,1001.3129425048828,968.027708530426,0.6516825556755066,995.2031707763672,963.4836173057556,0.4339537024497986
31,1033.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
32,1066.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
33,1100.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
34,1133.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
35,1166.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
36,1200.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
37,1233.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
38,1266.6666666666665,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
39,1300.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
40,1333.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
41,1366.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
42,1400.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
43,1433.3333333333333,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
44,1466.6666666666665,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
45,1500.0,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
46,1533.3333333333335,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
47,1566.6666666666667,0,mediapipe,coco17,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0
